INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '9:00', '9:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '9:20', '9:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '9:40', '10:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '10:00', '10:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '10:20', '10:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '10:40', '11:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '9:00', '9:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '9:20', '9:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '9:40', '10:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '10:00', '10:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '10:20', '10:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '10:40', '11:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '11:00', '11:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '11:20', '11:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '11:40', '12:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '12:00', '12:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '12:20', '12:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '12:40', '13:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '11:00', '11:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '11:20', '11:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '11:40', '12:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '12:00', '12:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '12:20', '12:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '12:40', '13:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '15:00', '15:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '15:20', '15:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '15:40', '16:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '16:00', '16:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '16:20', '16:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '16:40', '17:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '15:00', '15:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '15:20', '15:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '15:40', '16:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '16:00', '16:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '16:20', '16:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '16:40', '17:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '18:00', '18:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '18:20', '18:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '18:40', '19:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '19:00', '19:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '19:20', '19:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '19:40', '20:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '18:00', '18:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '18:20', '18:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '18:40', '19:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '19:00', '19:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '19:20', '19:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '19:40', '20:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '21:00', '21:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '21:20', '21:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '21:40', '22:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '22:00', '22:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '22:20', '22:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '22:40', '23:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '21:00', '21:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '21:20', '21:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '21:40', '22:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '22:00', '22:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '22:20', '22:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'AP', '22:40', '23:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '9:00', '9:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '9:20', '9:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '9:40', '10:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '10:00', '10:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '10:20', '10:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '10:40', '11:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '9:00', '9:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '9:20', '9:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '9:40', '10:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '10:00', '10:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '10:20', '10:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '10:40', '11:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '11:00', '11:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '11:20', '11:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '11:40', '12:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '12:00', '12:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '12:20', '12:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '12:40', '13:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '11:00', '11:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '11:20', '11:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '11:40', '12:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '12:00', '12:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '12:20', '12:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '12:40', '13:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '15:00', '15:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '15:20', '15:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '15:40', '16:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '16:00', '16:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '16:20', '16:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '16:40', '17:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '15:00', '15:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '15:20', '15:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '15:40', '16:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '16:00', '16:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '16:20', '16:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '16:40', '17:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '18:00', '18:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '18:20', '18:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '18:40', '19:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '19:00', '19:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '19:20', '19:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '19:40', '20:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '18:00', '18:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '18:20', '18:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '18:40', '19:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '19:00', '19:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '19:20', '19:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '19:40', '20:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '21:00', '21:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '21:20', '21:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '21:40', '22:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '22:00', '22:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '22:20', '22:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '22:40', '23:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '21:00', '21:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '21:20', '21:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '21:40', '22:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '22:00', '22:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '22:20', '22:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Terça-feira', 'AP', '22:40', '23:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '9:00', '9:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '9:20', '9:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '9:40', '10:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '10:00', '10:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '10:20', '10:40', '1', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '10:40', '11:00', '24', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '9:00', '9:20', '28', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '9:20', '9:40', '24', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '9:40', '10:00', '1', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '10:00', '10:20', '14', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '10:20', '10:40', '18', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '10:40', '11:00', '34', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '11:00', '11:20', '30', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '11:20', '11:40', '34', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '11:40', '12:00', '18', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '12:00', '12:20', '14', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Quarta-feira', 'AP', '12:20', '12:40', '1', '24');
