INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '06:00', '06:20', '35', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:00', '08:20', '35', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:00', '10:20', '35', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:00', '12:20', '35', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:00', '14:20', '35', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:00', '16:20', '35', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:00', '18:20', '35', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:00', '20:20', '35', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '06:00', '06:20', '26', '27');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:00', '08:20', '26', '27');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:00', '10:20', '26', '27');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:00', '12:20', '26', '27');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:00', '14:20', '26', '27');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:00', '16:20', '26', '27');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:00', '18:20', '26', '27');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:00', '20:20', '26', '27');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '06:20', '06:40', '34', '32');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:20', '08:40', '34', '32');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:20', '10:40', '34', '32');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:20', '12:40', '34', '32');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:20', '14:40', '34', '32');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:20', '16:40', '34', '32');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:20', '18:40', '34', '32');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:20', '20:40', '34', '32');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '06:20', '06:40', '27', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:20', '08:40', '27', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:20', '10:40', '27', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:20', '12:40', '27', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:20', '14:40', '27', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:20', '16:40', '27', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:20', '18:40', '27', '28');
